2,1
3,1
4,1
5,1
15,1
16,1
17,1
1,2
3,2
4,2
5,2
6,2
15,2
16,2
17,2
18,2
1,3
2,3
4,3
5,3
6,3
7,3
15,3
16,3
17,3
18,3
19,3
20,3
1,4
2,4
3,4
5,4
6,4
7,4
8,4
9,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
1,5
2,5
3,5
4,5
6,5
7,5
8,5
9,5
10,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
2,6
3,6
4,6
5,6
7,6
8,6
9,6
10,6
11,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
3,7
4,7
5,7
6,7
8,7
9,7
10,7
11,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
4,8
5,8
6,8
7,8
9,8
10,8
11,8
12,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
4,9
5,9
6,9
7,9
8,9
10,9
11,9
12,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
5,10
6,10
7,10
8,10
9,10
11,10
12,10
13,10
18,10
19,10
20,10
21,10
23,10
24,10
6,11
7,11
8,11
9,11
10,11
12,11
13,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
8,12
9,12
10,12
11,12
13,12
14,12
21,12
22,12
23,12
24,12
25,12
10,13
11,13
12,13
14,13
24,13
25,13
12,14
13,14
25,14
1,15
2,15
3,15
4,15
5,15
6,15
16,15
17,15
18,15
1,16
2,16
3,16
4,16
5,16
6,16
7,16
8,16
9,16
15,16
17,16
18,16
19,16
20,16
21,16
22,16
23,16
1,17
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,17
15,17
16,17
18,17
19,17
20,17
21,17
22,17
23,17
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
10,18
11,18
15,18
16,18
17,18
19,18
20,18
21,18
22,18
23,18
24,18
3,19
4,19
5,19
6,19
7,19
8,19
9,19
10,19
11,19
16,19
17,19
18,19
20,19
21,19
22,19
23,19
24,19
3,20
4,20
5,20
6,20
7,20
8,20
9,20
10,20
11,20
16,20
17,20
18,20
19,20
21,20
22,20
23,20
24,20
4,21
5,21
6,21
7,21
8,21
9,21
10,21
11,21
12,21
16,21
17,21
18,21
19,21
20,21
22,21
23,21
24,21
4,22
5,22
6,22
7,22
8,22
9,22
11,22
12,22
16,22
17,22
18,22
19,22
20,22
21,22
23,22
24,22
5,23
6,23
7,23
8,23
9,23
10,23
11,23
12,23
16,23
17,23
18,23
19,23
20,23
21,23
22,23
24,23
25,23
8,24
9,24
10,24
11,24
12,24
13,24
18,24
19,24
20,24
21,24
22,24
23,24
25,24
11,25
12,25
13,25
14,25
23,25
24,25
