2,1
3,1
4,1
18,1
19,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
18,2
19,2
1,3
2,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
19,3
1,4
2,4
3,4
5,4
6,4
7,4
8,4
9,4
10,4
19,4
2,5
3,5
4,5
6,5
7,5
8,5
9,5
10,5
2,6
3,6
4,6
5,6
7,6
8,6
9,6
10,6
2,7
3,7
4,7
5,7
6,7
8,7
9,7
10,7
2,8
3,8
4,8
5,8
6,8
7,8
9,8
10,8
11,8
3,9
4,9
5,9
6,9
7,9
8,9
10,9
11,9
12,9
3,10
4,10
5,10
6,10
7,10
8,10
9,10
11,10
12,10
8,11
9,11
10,11
12,11
13,11
9,12
10,12
11,12
13,12
11,13
12,13
14,13
15,13
13,14
15,14
16,14
18,14
13,15
14,15
16,15
17,15
14,16
15,16
17,16
18,16
19,16
15,17
16,17
18,17
19,17
1,18
2,18
14,18
16,18
17,18
19,18
1,19
2,19
3,19
4,19
16,19
17,19
18,19
